1,,Novak Djokovic,SRB,13845,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
2,,Roger Federer,SUI,9165,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
3,,Andy Murray,GBR,7040,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
4,,Stan Wawrinka,SUI,5790,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
5,,Kei Nishikori,JPN,5570,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
6,,Tomas Berdych,CZE,5050,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
7,,David Ferrer,ESP,4490,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
8,,Milos Raonic,CAN,4440,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
9,,Marin Cilic,CRO,3460,-,Stuttgart R16,-,3495,3700,,Thu Jun 11 00:00:09 2015
10,,Rafael Nadal,ESP,2930,-,Stuttgart R16,-,2930,3135,,Thu Jun 11 00:00:09 2015
11,,Grigor Dimitrov,BUL,2600,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
12,,Jo Wilfried Tsonga,FRA,2565,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
13,,Gilles Simon,FRA,2300,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
14,,Feliciano Lopez,ESP,2140,-,-,Lost in Stuttgart R16,-,-,,Thu Jun 11 00:00:09 2015
15,,David Goffin,BEL,1915,-,'s-Hertogenbosch R16,-,1915,2110,,Thu Jun 11 00:00:09 2015
16,,Gael Monfils,FRA,1885,-,Stuttgart QF,-,1885,2045,,Thu Jun 11 00:00:09 2015
17,,Kevin Anderson,RSA,1880,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
18,,John Isner,USA,1845,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
19,,Richard Gasquet,FRA,1715,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
20,,Tommy Robredo,ESP,1710,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
21,,Roberto Bautista Agut,ESP,1705,-,'s-Hertogenbosch R16,-,1705,1865,,Thu Jun 11 00:00:09 2015
22,,Leonardo Mayer,ARG,1580,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
23,,Pablo Cuevas,URU,1502,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
24,,Bernard Tomic,AUS,1355,-,Stuttgart R16,-,1355,1560,,Thu Jun 11 00:00:09 2015
25,,Fabio Fognini,ITA,1250,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
26,,Ivo Karlovic,CRO,1250,+1,'s-Hertogenbosch QF,-,1295,1455,,Thu Jun 11 00:00:09 2015
27,,Viktor Troicki,SRB,1249,+1,Stuttgart QF,-,1294,1454,,Thu Jun 11 00:00:09 2015
28,,Nick Kyrgios,AUS,1245,-3,-,-,-,-,,Thu Jun 11 00:00:09 2015
29,,Dominic Thiem,AUT,1225,+1,-,Lost in Stuttgart R32,-,-,,Thu Jun 11 00:00:09 2015
30,,Jack Sock,USA,1215,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
31,,Philipp Kohlschreiber,GER,1195,-2,Stuttgart QF,-,1240,1400,,Thu Jun 11 00:00:09 2015
32,,Adrian Mannarino,FRA,1188,-,'s-Hertogenbosch R16,-,1188,1393,,Thu Jun 11 00:00:09 2015
33,,Juan Monaco,ARG,1170,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
34,,Guillermo Garcia Lopez,ESP,1165,-,-,Lost in 's-Hertogenbosch R16,-,-,,Thu Jun 11 00:00:09 2015
35,,Martin Klizan,SVK,1125,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
