Data,Round,Civility,Player1 (Player1 / Player2),Player2 (Player3 / Player4),Sets,Tournment,Clay,1st SERVE % P1,1st SERVE % P2,1st SERVE POINTS WON P1,1st SERVE POINTS WON P2,2nd SERVE POINTS WON P1,2nd SERVE POINTS WON P2,BREAK POINTS WON P1,BREAK POINTS WON P2,TOTAL RETURN POINTS WON P1,TOTAL RETURN POINTS WON P2,TOTAL POINTS WON P1,TOTAL POINTS WON P2,DOUBLE FAULTS P1,DOUBLE FAULTS P2,ACES P1,ACES P2,Country P1,Birthday P1,Height P1,Weight P1,Profi since P1,Play P1,Ranking's position P1,Points P1,Prize money P1,Country P2,Birthday P2,Height P2,Weight P2,Profi since P2,Play P2,Ranking's position P2,Points P2,Prize money P2,Country P3,Birthday P3,Height P3,Weight P3,Profi since P3,Play P3,Ranking's position P3,Points P3,Prize money P3,Country P4,Birthday P4,Height P4,Weight P4,Profi since P4,Play P4,Ranking's position P4,Points P4,Prize money P4
01.01.70,1st round,female,Miyu Kato,Tamachan Momkoonthod,"6-0, 6-3",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"21.11.94, 20 years",-,-,-,-,369,92,-,Thailand,"14.04.97, 18 years",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,q 1,female,Michika Ozeki,Bunyawi Thamchaiwat,"6-1, 4-6, 6-2",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"17.03.92, 23 years",-,-,-,-,598,34,-,Thailand,"29.07.98, 16 years",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,1st round,female,Nao Hibino,Olga Fridman,3-1 retired Olga Fridman,Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"28.11.94, 20 years",-,-,-,-,163,322,-,Ukraine,"30.09.98, 16 years",-,-,-,-,531,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,1st round,female,Chompoothip Jandakate/Chanikarn Silakul,Julaluck Sae-Eung/Dan Ni Wang,"7-61, 7-5",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thailand,"03.11.95, 19 years",-,-,-,-,-,-,-,Thailand,"05.08.95, 19 years",-,-,-,-,-,-,-,Thailand,"27.01.95, 20 years",-,-,-,-,-,-,-,China,"12.06.93, 21 years",-,-,-,-,-,-,-
01.01.70,qual.,female,Natasha Palha,Patcharin Cheapchadej,"6-2, 2-6, 7-63",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,India,"17.01.94, 21 years",-,-,-,-,587,36,-,Thailand,"13.12.94, 20 years",-,-,-,-,816,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,q 1,female,Isabelle Wallace,Guntisa Boonlaing,"6-1, 6-0",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,United Kingdom,"07.09.96, 18 years",-,-,-,-,648,30,-,Thailand,"22.08.91, 23 years",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03.06.15,2nd round,female,Michelle Larcher De Brito,Alison Bai,"6-2, 6-3",Eastbourne,Grass,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Portugal,"29.01.93, 22 years",165 cm,45 kg,-,Right-handed,126,434,-,Australia,"18.01.90, 25 years",-,-,-,-,356,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.06.15,1st round,female,Tara Moore,Maria Sanchez,"3-6, 7-67, 6-0",Eastbourne,Grass,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,United Kingdom,"06.08.92, 22 years",-,-,-,-,401,79,-,USA,"26.11.89, 25 years",-,-,-,-,192,275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.06.15,1st round,female,Petra Martic,Elitsa Kostova,"1-6, 6-1, 7-67",Eastbourne,Grass,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Croatia,"19.01.91, 24 years",-,-,-,-,158,330,1.413.278 $,Bulgaria,"10.04.90, 25 years",-,-,-,-,177,292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,1st round,female,Luksika Kumkhum,Nina Stojanovic,"6-4, 6-3",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thailand,"21.07.93, 21 years",-,-,-,-,141,392,-,Serbia,"30.07.96, 18 years",-,-,-,-,292,140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
