1,,Novak Djokovic,SRB,13365,-,Roland Garros SF,-,13845,14645,,Thu Jun  4 18:29:22 2015
2,,Roger Federer,SUI,9415,-,-,Lost in Roland Garros QF,-,-,,Thu Jun  4 18:29:22 2015
3,,Andy Murray,GBR,7040,-,Roland Garros SF,-,7520,8320,,Thu Jun  4 18:29:22 2015
4,,Kei Nishikori,JPN,5570,+1,-,Lost in Roland Garros QF,-,-,,Thu Jun  4 18:29:22 2015
5,,Tomas Berdych,CZE,5050,-1,-,Lost in Roland Garros R16,-,-,,Thu Jun  4 18:29:22 2015
6,,Stan Wawrinka,SUI,4555,+3,Roland Garros SF,-,5035,5835,,Thu Jun  4 18:29:22 2015
7,,David Ferrer,ESP,4490,+1,-,Lost in Roland Garros QF,-,-,,Thu Jun  4 18:29:22 2015
8,,Milos Raonic,CAN,4440,-2,-,-,-,-,,Thu Jun  4 18:29:22 2015
9,,Marin Cilic,CRO,3460,+1,-,Lost in Roland Garros R16,-,-,,Thu Jun  4 18:29:22 2015
10,,Rafael Nadal,ESP,2930,-3,-,Lost in Roland Garros QF,-,-,,Thu Jun  4 18:29:22 2015
11,,Grigor Dimitrov,BUL,2760,-,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
12,,Jo Wilfried Tsonga,FRA,2585,+3,Roland Garros SF,-,3065,3865,,Thu Jun  4 18:29:22 2015
13,,Gilles Simon,FRA,2300,-,-,Lost in Roland Garros R16,-,-,,Thu Jun  4 18:29:22 2015
14,,Feliciano Lopez,ESP,2245,-2,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
15,,David Goffin,BEL,1915,+3,-,Lost in Roland Garros R32,-,-,,Thu Jun  4 18:29:22 2015
16,,Gael Monfils,FRA,1885,-2,-,Lost in Roland Garros R16,-,-,,Thu Jun  4 18:29:22 2015
17,,Kevin Anderson,RSA,1880,-,-,Lost in Roland Garros R32,-,-,,Thu Jun  4 18:29:22 2015
18,,John Isner,USA,1845,-2,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
19,,Richard Gasquet,FRA,1715,+2,-,Lost in Roland Garros R16,-,-,,Thu Jun  4 18:29:22 2015
20,,Tommy Robredo,ESP,1710,-1,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
21,,Roberto Bautista Agut,ESP,1705,-1,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
22,,Leonardo Mayer,ARG,1580,-,-,Lost in Roland Garros R32,-,-,,Thu Jun  4 18:29:22 2015
23,,Pablo Cuevas,URU,1502,-,-,Lost in Roland Garros R32,-,-,,Thu Jun  4 18:29:22 2015
24,,Bernard Tomic,AUS,1355,+2,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
25,,Nick Kyrgios,AUS,1340,+5,-,Lost in Roland Garros R32,-,-,,Thu Jun  4 18:29:22 2015
26,,Fabio Fognini,ITA,1250,+1,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
27,,Ivo Karlovic,CRO,1250,-2,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
28,,Viktor Troicki,SRB,1242,+5,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
29,,Philipp Kohlschreiber,GER,1240,-1,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
