"Data" , "Round of tournment" , "Name1" , "Name2" , "Sets", "Name of tournment" , "Clay", "1st SERVE %", "1st SERVE POINTS WON", "2nd SERVE POINTS WON", "BREAK POINTS WON", "TOTAL RETURN POINTS WON", "TOTAL POINTS WON", "DOUBLE FAULTS", "ACES", "Info about Sportsmen1", "Info about Sportsmen2"

25.05.15 , "1st round" , "Virginie Razzano" , "Veronica Cepede Royg" , "2-6, 6-4, 6-2" , "Paris" , "Clay" , 58/84 (69%) , 76/93 (82%) , 32/58 (55%) , 50/76 (66%) , 10/26 (38%) , 6/17 (35%) , 4/12 (33%) , 5/10 (50%) , 37/93 (40%) , 42/84 (50%) , 79/177 (45%) , 98/177 (55%) , 2 , 1 ,  ,  , "France 12.05.83, 32 years 173 cm 64 kg 1999 Right-handed 182 283 3.184.685 $" , "Paraguay 21.01.92, 23 years 173 300"

25.05.15 , "1st round" , "Lucie Hradecka" , "Saisai Zheng" , "6-3, 6-0" , "Paris" , "Clay" , 23/43 (53%) , 32/46 (70%) , 21/23 (91%) , 16/32 (50%) , 11/20 (55%) , 6/14 (43%) , 24/46 (52%) , 11/43 (26%) , 56/89 (63%) , 33/89 (37%) , 2 , 1 , 4 , 0 , "Czech Republic 21.05.85, 30 years 176 cm 65 kg Right-handed 61 896 3.240.884 $" , "China 05.02.94, 21 years 62 884"

27.05.15 , "2nd round" , "Lucie Safarova" , "Kurumi Nara" , "6-2, 6-0" , "Paris" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Czech Republic 04.02.87, 28 years 177 cm 64 kg 2002 Left-handed 13 2995 5.657.303 $" , "Japan 30.12.91, 23 years 55 960"

27.05.15 , "1st round" , "Alize Lim/Laura Thorpe" , "Karin Knapp/Roberta Vinci" , "4-6, 3-6" , "Paris" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "France 13.07.90, 24 years" , "France 24.05.87, 28 years" , "Italy 28.06.87, 27 years 180 cm 72 kg 2002 Right-handed" , "Italy 18.02.83, 32 years 163 cm 60 kg 1999 Right-handed"

26.05.15 , "1st round" , "Svetlana Kuznetsova" , "Kiki Bertens" , "6-1, 4-6, 6-2" , "Paris" , "Clay" , 55/76 (72%) , 41/65 (63%) , 37/55 (67%) , 25/41 (61%) , 13/21 (62%) , 10/24 (42%) , 5/7 (71%) , 2/2 (100%) , 30/65 (46%) , 26/76 (34%) , 80/141 (57%) , 61/141 (43%) , 2 , 2 , 3 , 0 , "Russia 27.06.85, 29 years 174 cm 73 kg 2000 Right-handed 18 2118 18.323.719 $" , "Holland 10.12.91, 23 years 84 685"

20.05.15 , "q 1" , "Mariana Duque-Marino" , "Nigina Abduraimova" , "6-1, 6-2" , "Paris" , "Clay" , 23/44 (52%) , 32/56 (57%) , 16/23 (70%) , 16/32 (50%) , 12/21 (57%) , 7/24 (29%) , 6/9 (67%) , 1/2 (50%) , 33/56 (59%) , 16/44 (36%) , 61/100 (61%) , 39/100 (39%) , 2 , 4 , 4 , 2 , "Colombia 12.08.89, 25 years 169 cm 58 kg Right-handed 104 576" , "Uzbekistan 07.07.94, 20 years 180 290"

25.05.15 , "1st round" , "Amandine Hesse" , "Jarmila Gajdosova" , "2-6, 6-3, 6-2" , "Paris" , "Clay" , 37/82 (45%) , 40/74 (54%) , 24/37 (65%) , 20/40 (50%) , 18/45 (40%) , 17/34 (50%) , 7/13 (54%) , 5/16 (31%) , 37/74 (50%) , 40/82 (49%) , 79/156 (51%) , 77/156 (49%) , 6 , 4 , 9 , 1 , "France 16.01.93, 22 years 272 158" , "Australia 26.04.87, 28 years 173 cm 64 kg 2005 Right-handed 53 998 2.332.470 $"

27.05.15 , "2nd round" , "Samantha Stosur" , "Amandine Hesse" , "6-0, 6-1" , "Paris" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Australia 30.03.84, 31 years 172 cm 65 kg Right-handed 22 2010 14.104.099 $" , "France 16.01.93, 22 years 272 158"

22.05.15 , "qual." , "Johanna Konta" , "Clothilde De Bernardi" , "6-2, 6-1" , "Paris" , "Clay" , 31/43 (72%) , 36/46 (78%) , 20/31 (65%) , 14/36 (39%) , 9/12 (75%) , 3/10 (30%) , 6/6 (100%) , 1/4 (25%) , 29/46 (63%) , 14/43 (33%) , 58/89 (65%) , 31/89 (35%) , 1 , 2 , 3 , 0 , "United Kingdom 17.05.91, 24 years 143 376" , "France 16.11.94, 20 years 314 122"

26.05.15 , "1st round" , "Sesil Karatantcheva" , "Jelena Jankovic" , "6-3, 6-4" , "Paris" , "Clay" , 54/70 (77%) , 39/57 (68%) , 38/54 (70%) , 19/39 (49%) , 2/16 (13%) , 8/18 (44%) , 5/8 (63%) , 3/10 (30%) , 30/57 (53%) , 30/70 (43%) , 70/127 (55%) , 57/127 (45%) , 4 , 3 , 0 , 4 , "Kazakhstan 08.08.89, 25 years 173 cm 62 kg Right-handed 106 565" , "Serbia 28.02.85, 30 years 177 cm 59 kg Right-handed 25 1860 16.837.589 $"

21.05.15 , "q 2" , "Laura Pous-Tio" , "Grace Min" , "6-3, 6-2" , "Paris" , "Clay" , 34/51 (67%) , 51/67 (76%) , 22/34 (65%) , 24/51 (47%) , 9/17 (53%) , 7/16 (44%) , 6/13 (46%) , 2/4 (50%) , 36/67 (54%) , 20/51 (39%) , 67/118 (57%) , 51/118 (43%) , 1 , 0 , 2 , 0 , "Spain 01.10.84, 30 years 173 cm 64 kg 2003 Right-handed 207 245" , "USA 06.05.94, 21 years 133 415"

21.05.15 , "q 2" , "Kateryna Bondarenko" , "Jana Cepelova" , "6-1, 6-0" , "Paris" , "Clay" , 21/35 (60%) , 31/48 (65%) , 19/21 (90%) , 16/31 (52%) , 7/14 (50%) , 4/17 (24%) , 6/9 (67%) , 0/1 (0%) , 28/48 (58%) , 9/35 (26%) , 54/83 (65%) , 29/83 (35%) , 2 , 3 , 3 , 1 , "Ukraine 08.08.86, 28 years 138 398 2.204.544 $" , "Slovakia 29.05.93, 22 years 110 531"

25.05.15 , "1st round" , "Sloane Stephens" , "Venus Williams" , "7-65, 6-1" , "Paris" , "Clay" , 38/63 (60%) , 32/62 (52%) , 29/38 (76%) , 20/32 (63%) , 13/25 (52%) , 13/30 (43%) , 3/3 (100%) , 1/2 (50%) , 29/62 (47%) , 21/63 (33%) , 71/125 (57%) , 54/125 (43%) , 1 , 1 , 2 , 0 , "USA 20.03.93, 22 years 40 1250 2.863.181 $" , "USA 17.06.80, 34 years 185 cm 72 kg 1994 Right-handed 15 2646 30.203.596 $"

24.05.15 , "1st round" , "Bojana Jovanovski" , "Lesya Tsurenko" , "1-6, 6-1, 6-0" , "Paris" , "Clay" , 41/68 (60%) , 38/63 (60%) , 26/41 (63%) , 18/38 (47%) , 15/27 (56%) , 12/25 (48%) , 6/8 (75%) , 3/7 (43%) , 33/63 (52%) , 27/68 (40%) , 74/131 (56%) , 57/131 (44%) , 2 , 4 , 1 , 3 , "Serbia 31.12.91, 23 years 60 906 1.703.651 $" , "Ukraine 30.05.89, 26 years 64 877"

20.05.15 , "q 1" , "Clothilde De Bernardi" , "Michelle Larcher De Brito" , "4-6, 6-2, 6-4" , "Paris" , "Clay" , 50/79 (63%) , 64/114 (56%) , 29/50 (58%) , 32/64 (50%) , 14/29 (48%) , 23/50 (46%) , 8/21 (38%) , 6/8 (75%) , 59/114 (52%) , 36/79 (46%) , 102/193 (53%) , 91/193 (47%) , 8 , 11 , 1 , 2 , "France 16.11.94, 20 years 314 122" , "Portugal 29.01.93, 22 years 165 cm 45 kg Right-handed 126 434"

27.05.15 , "2nd round" , "Vitalia Diatchenko" , "Maria Sharapova" , "3-6, 1-6" , "Paris" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Russia 02.08.90, 24 years 91 657" , "Russia 19.04.87, 28 years 188 cm 59 kg 2001 Right-handed 2 7710 32.535.202 $"

20.05.15 , "q 1" , "Shahar Peer" , "Sara Sorribes Tormo" , "6-2, 6-4" , "Paris" , "Clay" , 42/60 (70%) , 31/43 (72%) , 22/42 (52%) , 14/31 (45%) , 13/18 (72%) , 4/12 (33%) , 6/7 (86%) , 3/9 (33%) , 25/43 (58%) , 25/60 (42%) , 60/103 (58%) , 43/103 (42%) , 2 , 3 ,  ,  , "Izrael 01.05.87, 28 years 170 cm 60 kg 2004 Right-handed 119 472 5.011.630 $" , "Spain 08.10.96, 18 years 156 336"

24.05.15 , "1st round" , "Flavia Pennetta" , "Magda Linette" , "6-3, 5-7, 6-1" , "Paris" , "Clay" , 51/84 (61%) , 66/99 (67%) , 34/51 (67%) , 29/66 (44%) , 18/33 (55%) , 19/33 (58%) , 7/16 (44%) , 4/8 (50%) , 51/99 (52%) , 32/84 (38%) , 103/183 (56%) , 80/183 (44%) , 2 , 2 , 2 , 1 , "Italy 25.02.82, 33 years 172 cm 58 kg 2000 Right-handed 28 1731 9.791.881 $" , "Poland 12.02.92, 23 years 101 594"

24.05.15 , "1st round" , "Garbine Muguruza" , "Petra Martic" , "6-2, 7-5" , "Paris" , "Clay" , 32/45 (71%) , 33/57 (58%) , 29/32 (91%) , 22/33 (67%) , 11/13 (85%) , 10/24 (42%) , 25/57 (44%) , 5/45 (11%) , 65/102 (64%) , 37/102 (36%) , 0 , 6 , 4 , 3 , "Spain 08.10.93, 21 years 20 2075 1.681.469 $" , "Croatia 19.01.91, 24 years 158 330 1.413.278 $"

20.05.15 , "q 1" , "Petra Martic" , "Marina Melnikova" , "6-3, 6-72, 6-3" , "Paris" , "Clay" , 68/121 (56%) , 76/96 (79%) , 49/68 (72%) , 46/76 (61%) , 22/53 (42%) , 6/20 (30%) , 6/13 (46%) , 4/16 (25%) , 44/96 (46%) , 50/121 (41%) , 115/217 (53%) , 102/217 (47%) , 12 , 7 , 7 , 1 , "Croatia 19.01.91, 24 years 158 330 1.413.278 $" , "Russia 05.02.89, 26 years 171 302"

21.05.15 , "q 2" , "Margarita Gasparyan" , "Kai-Lin Zhang" , "6-1, 6-0" , "Paris" , "Clay" , 20/32 (63%) , 22/41 (54%) , 18/20 (90%) , 8/22 (36%) , 7/12 (58%) , 5/19 (26%) , 6/8 (75%) , 0/2 (0%) , 28/41 (68%) , 7/32 (22%) , 53/73 (73%) , 20/73 (27%) , 1 , 5 , 2 , 0 , "Russia 01.09.94, 20 years 116 476" , "China 28.01.90, 25 years 151 348"

27.05.15 , "2nd round" , "Annika Beck" , "Paula Kania" , "6-2, 6-2" , "Paris" , "Clay" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Germany 16.02.94, 21 years 83 688" , "Poland 06.11.92, 22 years 160 326"

25.05.15 , "1st round" , "Carina Witthoeft" , "Katerina Siniakova" , "6-3, 7-5" , "Paris" , "Clay" , 44/75 (59%) , 37/62 (60%) , 25/44 (57%) , 20/37 (54%) , 18/31 (58%) , 11/25 (44%) , 5/8 (63%) , 3/11 (27%) , 31/62 (50%) , 32/75 (43%) , 74/137 (54%) , 63/137 (46%) , 4 , 6 , 1 , 1 , "Germany 16.02.95, 20 years 56 935" , "Czech Republic 10.05.96, 19 years 68 829"

21.05.15 , "q 2" , "Maryna Zanevska" , "Yafan Wang" , "0-6, 6-4, 9-7" , "Paris" , "Clay" , 71/107 (66%) , 80/101 (79%) , 33/71 (46%) , 36/80 (45%) , 16/36 (44%) , 10/21 (48%) , 9/13 (69%) , 10/20 (50%) , 55/101 (54%) , 58/107 (54%) , 104/208 (50%) , 104/208 (50%) , 2 , 2 , 0 , 1 , "Ukraine 24.08.93, 21 years 140 396" , "China 30.04.94, 21 years 135 407"

